first,second,jaro-win,lev,lev-norm
aisd3i_d.py,aisd3i_p.py,0.7381094692026773,359,0.42834394904458595
aisd3i_d.py,aisd3i_o.py,0.7547331726228568,331,0.4380305602716469
aisd3i_o.py,aisd3i_p.py,0.9068297624245959,88,0.8598726114649682
